id;nombre;departamento_id;dane_id
712;PUERTO LIBERTADOR;12;23580000
105;BETULIA;2;05093000
780;SAHAGÚN;12;23660000
118;BRICEÑO;2;05107000
799;SAN ANTERO;12;23672000
830;SAN JOSÉ DE URÉ;12;23682000
864;SAN PELAYO;12;23686000
730;PURÍSIMA DE LA CONCEPCIÓN;12;23586000
798;SAN ANDRÉS DE SOTAVENTO;12;23670000
861;SAN PEDRO DE LOS MILAGROS;2;05664000
1076;VILLAVICENCIO;19;50001000
160;CANDELARIA;4;08141000
860;SAN PEDRO;29;76670000
359;FÚQUENE;13;25288000
419;GUTIÉRREZ;13;25339000
450;JERUSALÉN;13;25368000
976;TAUSA;13;25793000
985;TIBACUY;13;25805000
988;TIBIRITA;13;25807000
1027;UBAQUE;13;25841000
1039;ÚTICA;13;25851000
1054;VERGARA;13;25862000
1067;VILLAGÓMEZ;13;25871000
1079;VIOTÁ;13;25878000
40;ANGELÓPOLIS;2;05036000
41;ANGOSTURA;2;05038000
43;ANORÍ;2;05040000
48;APARTADÓ;2;05045000
60;ARBOLETES;2;05051000
63;ARGELIA;2;05055000
68;ARMENIA;2;05059000
81;BARANOA;4;08078000
84;BARBOSA;2;05079000
98;BELLO;2;05088000
99;BELMIRA;2;05086000
102;BETANIA;2;05091000
129;BURITICÁ;2;05113000
134;CÁCERES;2;05120000
91;BARRANQUILLA;4;08001000
162;CAÑASGORDAS;2;05138000
166;CARACOLÍ;2;05142000
167;CARAMANTA;2;05145000
169;CAREPA;2;05147000
173;CAROLINA;2;05150000
180;CAUCASIA;2;05154000
196;CHIGORODÓ;2;05172000
223;CISNEROS;2;05190000
224;CIUDAD BOLÍVAR;2;05101000
226;COCORNÁ;2;05197000
1086;YALÍ;2;05885000
1087;YARUMAL;2;05887000
1088;YOLOMBÓ;2;05890000
1089;YONDÓ;2;05893000
1096;ZARAGOZA;2;05895000
280;DONMATÍAS;2;05237000
46;ANZÁ;2;05044000
332;ENTRERRÍOS;2;05264000
551;MEDELLÍN;2;05001000
935;SONSÓN;2;05756000
236;CONCORDIA;2;05209000
244;COPACABANA;2;05212000
295;EL CARMEN DE VIBORAL;2;05148000
323;EL SANTUARIO;2;05697000
333;ENVIGADO;2;05266000
352;FREDONIA;2;05282000
354;FRONTINO;2;05284000
366;GALAPA;4;08296000
377;GIRALDO;2;05306000
379;GIRARDOTA;2;05308000
381;GÓMEZ PLATA;2;05310000
385;GRANADA;2;05313000
442;ITUANGO;2;05361000
446;JARDÍN;2;05364000
448;JERICÓ;2;05368000
452;JUAN DE ACOSTA;4;08372000
460;LA CEJA;2;05376000
466;LA ESTRELLA;2;05380000
480;LA PINTADA;2;05390000
488;LA UNIÓN;2;05400000
508;LIBORINA;2;05411000
519;LURUACO;4;08421000
522;MACEO;2;05425000
531;MALAMBO;4;08433000
533;MANATÍ;4;08436000
441;ITAGÜÍ;2;05360000
597;NECHÍ;2;05495000
598;NECOCLÍ;2;05490000
618;OLAYA;2;05501000
643;PALMAR DE VARELA;4;08520000
664;PEÑOL;2;05541000
665;PEQUE;2;05543000
743;REMEDIOS;2;05604000
745;REPELÓN;4;08606000
748;RETIRO;2;05607000
758;RIONEGRO;2;05615000
771;SABANAGRANDE;4;08634000
772;SABANALARGA;2;05628000
773;SABANALARGA;4;08638000
776;SABANETA;2;05631000
787;SALGAR;2;05642000
796;SAN ANDRÉS DE CUERQUÍA;2;05647000
827;SAN JOSÉ DE LA MONTAÑA;2;05658000
837;SAN JUAN DE URABÁ;2;05659000
863;SAN PEDRO DE URABÁ;2;05665000
865;SAN RAFAEL;2;05667000
866;SAN ROQUE;2;05670000
875;SANTA BÁRBARA;2;05679000
882;SANTA LUCÍA;4;08675000
889;SANTA ROSA DE OSOS;2;05686000
901;SANTO DOMINGO;2;05690000
902;SANTO TOMÁS;4;08685000
910;SEGOVIA;2;05736000
895;SANTA FÉ DE ANTIOQUIA;2;05042000
869;SAN VICENTE FERRER;2;05674000
1014;TUBARÁ;4;08832000
1022;TURBO;2;05837000
1033;URAMITA;2;05842000
1036;URRAO;2;05847000
1038;USIACURÍ;4;08849000
1040;VALDIVIA;2;05854000
1046;VALPARAÍSO;2;05856000
1048;VEGACHÍ;2;05858000
1051;VENECIA;2;05861000
1059;VIGÍA DEL FUERTE;2;05873000
395;GUADALUPE;2;05315000
235;CONCEPCIÓN;2;05206000
843;SAN LUIS;2;05660000
